entity_id,local_account_code,local_account_name,group_standard_account_code,effective_from,effective_to,is_active,approved_by,approved_at
MY-PARENT,090,Business Bank Account,GS-1000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-PARENT,610,Accounts Receivable,GS-1100,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-PARENT,800,Accounts Payable,GS-2000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-PARENT,960,Retained Earnings,GS-3000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-PARENT,200,Sales,GS-4000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-PARENT,400,Office Expenses,GS-5000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
SG-SUB,610,Accounts Receivable,GS-1100,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
SG-SUB,200,Sales,GS-4000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
SG-SUB,400,Office Expenses,GS-5000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
SG-SUB,800,Accounts Payable,GS-2000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-PARENT,1900,Intercompany Receivable - SG-SUB,GS-1900,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
SG-SUB,1000,Bank Account,GS-1000,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
SG-SUB,1900,Intercompany Payable - MY-PARENT,GS-2900,2026-08-14,,true,Kenneth Yong,2026-08-14T00:00:00
MY-SUB-01,1000,Bank Account,GS-1000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-01,610,Accounts Receivable,GS-1100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-01,800,Accounts Payable,GS-2000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-01,200,Sales,GS-4000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-01,400,Office Expenses,GS-5000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-01,500,Cost of Goods Sold,GS-5100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-01,2100,External Bank Loans,GS-2100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,1000,Bank Account,GS-1000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,610,Accounts Receivable,GS-1100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,800,Accounts Payable,GS-2000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,200,Sales,GS-4000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,400,Office Expenses,GS-5000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,500,Cost of Goods Sold,GS-5100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-02,2100,External Bank Loans,GS-2100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,1000,Bank Account,GS-1000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,610,Accounts Receivable,GS-1100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,800,Accounts Payable,GS-2000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,200,Sales,GS-4000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,400,Office Expenses,GS-5000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,500,Cost of Goods Sold,GS-5100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-03,2100,External Bank Loans,GS-2100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,1000,Bank Account,GS-1000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,610,Accounts Receivable,GS-1100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,800,Accounts Payable,GS-2000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,200,Sales,GS-4000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,400,Office Expenses,GS-5000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,500,Cost of Goods Sold,GS-5100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-04,2100,External Bank Loans,GS-2100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-05,1000,Bank Account,GS-1000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-05,610,Accounts Receivable,GS-1100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-05,800,Accounts Payable,GS-2000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-05,200,Sales,GS-4000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-05,400,Office Expenses,GS-5000,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
MY-SUB-05,500,Cost of Goods Sold,GS-5100,2026-08-15,,true,Kenneth Yong,2026-08-15T00:00:00
